sentences,attribution,attrib_words
a climate shift is happening,1,climate change
we need to take some serious steps as a nation,0,desalination
otherwise hard times are coming,0,government inaction
its your leadership like karunanidhi select good people water is just a politics,1,government inaction
god religion temples rituals religous sentiments statues these things are indians too priority not environment climate change population pollution they dont even think about them,1,climate change
god religion temples rituals religous sentiments statues these things are indians too priority not environment climate change population pollution they dont even think about them,1,overpopulation
man made global warming,1,climate change
water shortage and heat waves are 1 way to address the over population issue its only when people die we want to usher in solutions and change,1,overpopulation
a dam doesnt seem a good option it would simply dry up with the hot temperature and be absorved by the earth,0,groundwater exploitation
the reason why it was a dessert basically,0,corruption
being a water analyst i want to give a suggestion from my side also if you are getting supply water in your home then its better to not use ro system to pure your water it is better to use it directly as water contain chlorine which kills it germs already for more safety u can boil it,0,water withdrawals
disadvantages of reverse osmosis is that it will kill the essential tds in water plus it will make your water acidic also,0,lack of harvesting
that is why please dont use ro for supply water it will help to preserve the water as well as your health,0,human activity
tn stop complaining start saving water stop dumping garbage on the pond river well lakes etc,1,public water wastage
tn stop complaining start saving water stop dumping garbage on the pond river well lakes etc,1,pollution
start planting trees and saving rain water,1,deforestation
start planting trees and saving rain water,1,lack of harvesting
or else water karma will dance in front of u next year even worse,0,overpopulation
alhaifawi i read the artical and it said aside from local use pumping from the sea of galili has been stopped for over 2 years and because of the drought they are thinking of pouring disalinated water into the sea of galili and you said the disalination plants are useless,1,desalination
just finish reading the artical,0,groundwater exploitation
how come people just press the dislike icon,0,lack of awareness
wtf you illiterate dislikers you bhagwan god or allah will not come down to fetch you water neither global warming,0,pollution
save mother nature not your religious believe,1,human activity
well as an indian who now lives in canada,0,government inaction
yes i have given up hope for india and next year my parents will shift to canada,0,water withdrawals
india has a lot of potential but at the same time its being ruled by people who have no clue how to run a govt at the same time highly corrupted and narrowminded and wont accept its flaws,0,public water wastage
tanweer alam muslim growth rate is highest and they are also asking asylum for rohingyas who have 1015 kids if we lack resources then why need to give asylum rohingyas,0,strain on natural resources
we have created our own problems,0,government inaction
currently i am working to reserve rain water and instead of using tap water i am using that rain water,1,lack of harvesting
the main is rain water harvesting,1,lack of harvesting
i would like to add a some points over here,0,groundwater exploitation
1 breweries and distilleries in chennai run by both the ruling party as well as the opposition parties of the locality is the real burden to the society,1,industrial development
 these factories are running in their full capacity ,1,agriculture
 no any so called social activist or revolutionary politicians will not raise voice against this 2,1,pollution
 no any so called social activist or revolutionary politicians will not raise voice against this 2,1,government inaction
mismanagement of water in the agriculture should be addressed by teaching the farmers ,1,corruption
water harvesting planning video to overcome water crisis please,1,lack of harvesting
why only the shit part of the story and none of the chemical waste being dumped in our rivers,1,contamination
thats an odd exclusion coming from vice,0,public water wastage
yes at a personal level you can do all this but we have paddy cultivation large scale animal farming as the biggest consumers of water,1,agriculture
whenever the conversation about water conservation brings the industrial uses of water and improving efficiency there or god forbid if asked whether they will consider cutting back rice and meat consumption as a measure to save water no one wants to continue that conversation,1,industrial development
whenever the conversation about water conservation brings the industrial uses of water and improving efficiency there or god forbid if asked whether they will consider cutting back rice and meat consumption as a measure to save water no one wants to continue that conversation,1,human activity
please kabhi pakistan ki economic conditions oor future pr video bnain according to indian views,0,government inaction
thats sad for a great city that has produced many world class people who head big world corporations,0,overpopulation
